,,,,"26418 - INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",,,,,,,,,,REFERÊNCIA:,,,,04/2025,,,
,,,,151911 - IFPE - CAMPUS AFOGADOS DA INGAZEIRA,,,,,,,,,,NATUREZA BENS:,,,,MATERIAL DE CONSUMO,,,
,,,,"26418 - INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",,,,,,,,,,,,,,,,,
,,,,BALANÇO FISICO-FINANCEIRO DE MATERIAIS EM ALMOXARIFADO,,,,,,,,,,,,,,,,,
CONTA,,,,,,SALDO ANTERIOR,,ENTRADAS ORÇAMENTARIAS,,ENTRADAS EXTRA-ORÇAMENTARIA,,ENTRADAS ALTERAÇÃO DE CONTA,,,,SAIDA,SAIDAS ALTERAÇÃO DE CONTA,,,SALDO ATUAL,
115610100 - MATERIAIS DE CONSUMO,,,,,,,,,,,,,,,,,,,,,
11 - MATERIAL QUIMICO,,,,,,,,,,,,,,,,,,,,,
,"002420678 - SULFATO DE COBRE II CUSO4 ANIDRO FINO CRISTAL BRANCO 159,60 PUREZA MÍNIMA DE 99% REAGENTE P.A. CAS 7758-98-7 - UNID: 01429 - FRASCO 250 G",,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,0,,5,,0,,0,,5,,,0,,0,
,,,Valor (R$),,,,0.00,,140.00,,0.00,,0.00,,140.00,,,0.00,,0.00,
,"002439980 - CARBONATO DE SODIO PÓ OU CRISTAIS BRANCOS, HIGROSCÓPICOS, INODOROS NA2CO3 ANIDRO 105,99 PUREZA MÍNIMA DE 99,5% REAGENTE P.A./ ACS CAS 497-19-8 - UNID: ",,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,0,,2,,0,,0,,2,,,0,,0,
,,,Valor (R$),,,,0.00,,51.72,,0.00,,0.00,,51.72,,,0.00,,0.00,
,"002483742 - CLORETO DE METILTIONINIO PÓ CRISTALINO VERDE ESCURO C16H18CIN3S.3H20 373,91 PUREZA MÍNIMA DE 82% CAS 7220-79-3 - UNID: 00856 - FRASCO 50 G",,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,0,,2,,0,,0,,2,,,0,,0,
,,,Valor (R$),,,,0.00,,108.00,,0.00,,0.00,,108.00,,,0.00,,0.00,
,"002604060 - ACIDO CLORIDRICO LÍQUIDO 37,47 DCL (DEUTERADO) PUREZA ISOTÓPICA MÍNIMA DE 99% EM DEUTÉRIO CAS 7698-05-7 - UNID: 00037 - L",,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,0,,4,,0,,0,,4,,,0,,0,
,,,Valor (R$),,,,0.00,,128.00,,0.00,,0.00,,128.00,,,0.00,,0.00,
,"002675420 - HIDROXIDO DE AMONIO LÍQUIDO LÍMPIDO, INCOLOR, VOLÁTIL, DE ODOR ACRE 35,05 NH4OH TEOR DE NH3 ENTRE 28 E 30% EM SOLUÇÃO AQUOSA, REAGENTE P.A. ACS ISO CA - ",,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,0,,4,,0,,0,,4,,,0,,0,
,,,Valor (R$),,,,0.00,,100.00,,0.00,,0.00,,100.00,,,0.00,,0.00,
,002717050 - CORANTE ALARANJADO DE METILA PÓ CI 13025 - UNID: 00856 - FRASCO 50 G,,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,0,,1,,0,,0,,1,,,0,,0,
,,,Valor (R$),,,,0.00,,35.51,,0.00,,0.00,,35.51,,,0.00,,0.00,
,"002732866 - BICARBONATO DE SODIO PÓ BRANCO, FINO 84,01 NAHCO3 PUREZA MÍNIMA DE 99% REAGENTE P.A./ ACS CAS 144-55-8 - UNID: 00395 - FRASCO 500 G",,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,0,,20,,0,,0,,20,,,0,,0,
,,,Valor (R$),,,,0.00,,180.00,,0.00,,0.00,,180.00,,,0.00,,0.00,
EMITIDO POR:,,078.691.994-94 - RICARDO EMANUEL FERREIRA SILVA em 22/04/2025 09:34:03,,,,,,,,,,,,,,,,,Página : 1/,,74
,,,,"26418 - INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",,,,,,,,,,REFERÊNCIA:,,,,04/2025,,,
,,,,151911 - IFPE - CAMPUS AFOGADOS DA INGAZEIRA,,,,,,,,,,NATUREZA BENS:,,,,MATERIAL DE CONSUMO,,,
,,,,"26418 - INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",,,,,,,,,,,,,,,,,
,,,,BALANÇO FISICO-FINANCEIRO DE MATERIAIS EM ALMOXARIFADO,,,,,,,,,,,,,,,,,
CONTA,,,,,,SALDO ANTERIOR,,ENTRADAS ORÇAMENTARIAS,,ENTRADAS EXTRA-ORÇAMENTARIA,,ENTRADAS ALTERAÇÃO DE CONTA,,,,SAIDA,SAIDAS ALTERAÇÃO DE CONTA,,,SALDO ATUAL,
115610100 - MATERIAIS DE CONSUMO,,,,,,,,,,,,,,,,,,,,,
11 - MATERIAL QUIMICO,,,,,,,,,,,,,,,,,,,,,
